condition,block,time_s,alpha_log_relative
Rest,1,138.511719,-0.048075814027317136
Rest,1,140.511719,-0.06075752142022534
Rest,1,142.511719,-0.06528670907030433
Rest,1,144.511719,-0.12737481890570013
Rest,1,146.511719,-0.06062928754165255
Rest,1,148.511719,-0.10534072326566007
Rest,1,150.511719,-0.11981473540526384
Rest,1,152.511719,-0.21542348519790655
Rest,2,272.455078,-0.12862595043387312
Rest,2,274.455078,-0.09802394654257558
Rest,2,276.455078,-0.09298221605541822
Rest,2,278.455078,-0.12510752415809848
Rest,2,280.455078,-0.2724064305252114
Rest,2,282.455078,-0.07052523125939042
Rest,2,284.455078,-0.08358411409723089
Rest,2,286.455078,-0.15332562472765152
Rest,3,404.314453,-0.07495185341746305
Rest,3,406.314453,-0.0724683471054874
Rest,3,408.314453,-0.0804940923997695
Rest,3,410.314453,-0.07060111611253841
Rest,3,412.314453,-0.15434104738101784
Rest,3,414.314453,-0.12266561679010411
Rest,3,416.314453,-0.17586664474592031
Rest,3,418.314453,-0.08892442287911288
Rest,4,533.923828,-0.07381405319285433
Rest,4,535.923828,-0.0656164414944575
Rest,4,537.923828,-0.12159426081086853
Rest,4,539.923828,-0.1775797076581646
Rest,4,541.923828,-0.16293413119454223
Rest,4,543.923828,-0.12343047183047738
Rest,4,545.923828,-0.11052886127270929
Rest,4,547.923828,-0.22542188377095157
Task,5,27.296875,-0.6914448503736639
Task,5,29.296875,-1.0920744346794107
Task,5,31.296875,-0.919015287824423
Task,5,33.296875,-0.991043097940954
Task,5,35.296875,-0.9026458720309187
Task,5,37.296875,-0.7283840521801301
Task,5,39.296875,-0.9737954973842968
Task,5,41.296875,-0.9751971652846116
Task,6,62.150391,-1.0798649927053734
Task,6,64.150391,-1.0616339123010041
Task,6,66.150391,-1.1321235715660711
Task,6,68.150391,-0.9194795322164606
Task,6,70.150391,-1.077961193082915
Task,6,72.150391,-1.0642928660160278
Task,6,74.150391,-0.6301427002852925
Task,6,76.150391,-0.8001701816653557
Task,7,88.230469,-0.7849314525183074
Task,7,90.230469,-1.3395816312016349
Task,7,92.230469,-0.6990966603062932
Task,7,94.230469,-0.7919766912764075
Task,7,96.230469,-1.0594825113570632
Task,7,98.230469,-0.8061023331703012
Task,7,100.230469,-1.060887554009585
Task,7,102.230469,-0.992865035775538
Task,8,113.962891,-1.0318237046517298
Task,8,115.962891,-0.889230904913596
Task,8,117.962891,-1.084410917887305
Task,8,119.962891,-0.826246494765801
Task,8,121.962891,-0.9168544204961517
Task,8,123.962891,-0.7433790581379515
Task,8,125.962891,-0.6682429763636077
Task,8,127.962891,-0.8450444237725986
Task,9,167.576172,-1.0404116977778177
Task,9,169.576172,-0.7522431032937312
Task,9,171.576172,-1.041562011854237
Task,9,173.576172,-0.9893233747775461
Task,9,175.576172,-0.7875452569771227
Task,9,177.576172,-0.813189359536376
Task,9,179.576172,-1.3557708064603244
Task,9,181.576172,-0.642027958104369
Task,10,195.890625,-0.9287081970498771
Task,10,197.890625,-0.566818197322476
Task,10,199.890625,-1.000279092292343
Task,10,201.890625,-0.7812940629791769
Task,10,203.890625,-0.9609134178758706
Task,10,205.890625,-0.7571743574484916
Task,10,207.890625,-0.6046261014033499
Task,10,209.890625,-0.6589223535681531
Task,11,222.984375,-0.9199518117231859
Task,11,224.984375,-0.6167626831672375
Task,11,226.984375,-0.762088937346969
Task,11,228.984375,-0.7476260138790416
Task,11,230.984375,-1.2745686445754247
Task,11,232.984375,-0.9396936990384321
Task,11,234.984375,-0.7294995456239594
Task,11,236.984375,-1.0867287146677371
Task,12,249.134766,-0.5856428261187301
Task,12,251.134766,-0.7746602541789481
Task,12,253.134766,-0.8182813546144634
Task,12,255.134766,-0.6710609476234044
Task,12,257.134766,-0.6138085598095953
Task,12,259.134766,-0.6267227472450201
Task,12,261.134766,-0.6350024340214014
Task,12,263.134766,-0.8258489015167192
Task,13,299.46875,-1.2050923919844116
Task,13,301.46875,-0.9546172965567858
Task,13,303.46875,-1.074478251730118
Task,13,305.46875,-0.8192037975285895
Task,13,307.46875,-0.7206758073006377
Task,13,309.46875,-0.6900644188900109
Task,13,311.46875,-0.947872743022798
Task,13,313.46875,-0.7686236717541088
Task,14,326.982422,-0.8073656111439065
Task,14,328.982422,-0.8703816908584692
Task,14,330.982422,-0.892887948236994
Task,14,332.982422,-1.1487694342399444
Task,14,334.982422,-0.7368479970833235
Task,14,336.982422,-0.7341094525112226
Task,14,338.982422,-1.0709258919637423
Task,14,340.982422,-0.5889452841536958
Task,15,355.615234,-0.9575521743469427
Task,15,357.615234,-0.7183584009581874
Task,15,359.615234,-0.8526975576138668
Task,15,361.615234,-0.95624116697052
Task,15,363.615234,-0.8910634599229951
Task,15,365.615234,-0.7594885672572754
Task,15,367.615234,-0.6490989689404232
Task,15,369.615234,-0.6612856405080595
Task,16,381.748047,-0.7727945717232406
Task,16,383.748047,-0.6692094252390558
Task,16,385.748047,-0.7910041127580879
Task,16,387.748047,-1.070038588053251
Task,16,389.748047,-0.6586225973929816
Task,16,391.748047,-1.0134948339109526
Task,16,393.748047,-0.588769410184097
Task,16,395.748047,-0.7863727556231254
Task,17,432.498047,-0.7127710657708805
Task,17,434.498047,-0.6766976675149103
Task,17,436.498047,-0.8554632168505641
Task,17,438.498047,-0.5969738097947633
Task,17,440.498047,-0.7814746787398782
Task,17,442.498047,-0.810383606025418
Task,17,444.498047,-1.0171392270602517
Task,17,446.498047,-0.6915290564184162
Task,18,457.962891,-0.8572805314709995
Task,18,459.962891,-1.104761478735661
Task,18,461.962891,-0.6215681127468848
Task,18,463.962891,-0.7989822236962648
Task,18,465.962891,-0.7763454157715561
Task,18,467.962891,-0.8579308755305811
Task,18,469.962891,-1.2406213628552927
Task,18,471.962891,-0.8578815936292897
Task,19,484.855469,-1.0047811306471863
Task,19,486.855469,-0.8466723443882725
Task,19,488.855469,-0.8022305566722178
Task,19,490.855469,-0.8667640042020216
Task,19,492.855469,-0.6923758651444344
Task,19,494.855469,-0.902549620821878
Task,19,496.855469,-0.8043023096011489
Task,19,498.855469,-0.7454282999711289
Task,20,510.789062,-0.765351785472888
Task,20,512.7890620000001,-0.587504693733788
Task,20,514.7890620000001,-1.0049770992225757
Task,20,516.7890620000001,-0.7624118181831498
Task,20,518.7890620000001,-0.9333890584903173
Task,20,520.7890620000001,-0.7612150204884748
Task,20,522.7890620000001,-0.7540567058051095
Task,20,524.7890620000001,-1.0209982306274616
